	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-A17_contigs_AM-388-A17_NODE_12_4	AM-388-A17_contigs	AM-388-A17_NODE_12	4	3089	3532	1	C	K03803	sigma-E factor negative regulatory protein RseC								Positive regulator of sigma(E), RseC/MucC [PF04246.15]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_5	AM-388-A17_contigs	AM-388-A17_NODE_12	5	3629	4204	-1	C	K03617	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A								Rnf-Nqr subunit, membrane protein [PF02508.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_6	AM-388-A17_contigs	AM-388-A17_NODE_12	6	4221	4814	-1	C	K03613	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E								Rnf-Nqr subunit, membrane protein [PF02508.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_7	AM-388-A17_contigs	AM-388-A17_NODE_12	7	4829	5422	-1	C	K03612	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G								FMN-binding domain [PF04205.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_8	AM-388-A17_contigs	AM-388-A17_NODE_12	8	5415	6383	-1	C	K03614	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]								NQR2, RnfD, RnfE family [PF03116.18]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_9	AM-388-A17_contigs	AM-388-A17_NODE_12	9	6376	7665	-1	C	K03615	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]								Na(+)-translocating NADH-quinone reductase subunit A (NQRA) [PF05896.14]; 4Fe-4S dicluster domain [PF13183.9]; 4Fe-4S dicluster domain [PF13187.9]; 4Fe-4S dicluster domain [PF13534.9]; 4Fe-4S dicluster domain [PF12838.10]; 4Fe-4S dicluster domain [PF14697.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_10	AM-388-A17_contigs	AM-388-A17_NODE_12	10	7733	8107	-1	D										Class III cytochrome C family [PF02085.19]; Cytochrome c3 [PF14537.9]; Cytochrome c7 and related cytochrome c [PF14522.9]					4
AM-388-A17_contigs_AM-388-A17_NODE_12_11	AM-388-A17_contigs	AM-388-A17_NODE_12	11	8406	9353	1	C	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]								Ppx/GppA phosphatase family [PF02541.19]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_12	AM-388-A17_contigs	AM-388-A17_NODE_12	12	9346	10809	1	C	K00088	IMP dehydrogenase [EC:1.1.1.205]								IMP dehydrogenase / GMP reductase domain [PF00478.28]; CBS domain [PF00571.31]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_13	AM-388-A17_contigs	AM-388-A17_NODE_12	13	10915	12471	1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	MER0440975	C26	MER0440975 - GMP synthase () [C26.957]#C26#{peptidase unit: 8-234}~source ZP_07204092~	True	0.869	411.0	1.638e-124	GMP synthase C terminal domain [PF00958.25]; Glutamine amidotransferase class-I [PF00117.31]; NAD synthase [PF02540.20]; Peptidase C26 [PF07722.16]; Queuosine biosynthesis protein QueC [PF06508.16]; Thiamine biosynthesis protein (ThiI) [PF02568.17]; tRNA methyl transferase HUP domain [PF03054.19]; PP-loop family [PF01171.23]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_14	AM-388-A17_contigs	AM-388-A17_NODE_12	14	13303	14466	1	C	K07133	uncharacterized protein								Domain of unknown function (DUF4143) [PF13635.9]; AAA domain [PF13173.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_15	AM-388-A17_contigs	AM-388-A17_NODE_12	15	14692	15846	1	C	K18979	epoxyqueuosine reductase [EC:1.17.99.6]								Reductive dehalogenase subunit [PF13486.9]; 4Fe-4S dicluster domain [PF12838.10]; 4Fe-4S double cluster binding domain [PF13484.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_16	AM-388-A17_contigs	AM-388-A17_NODE_12	16	15871	17904	1	D										Molybdopterin oxidoreductase [PF00384.25]; Molydopterin dinucleotide binding domain [PF01568.24]; Molybdopterin oxidoreductase Fe4S4 domain [PF04879.19]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_17	AM-388-A17_contigs	AM-388-A17_NODE_12	17	17942	19966	1	D										Stage II sporulation protein E (SpoIIE) [PF07228.15]; HAMP domain [PF00672.28]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_18	AM-388-A17_contigs	AM-388-A17_NODE_12	18	19966	20514	1	D										Family of unknown function (DUF6272) [PF19788.2]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_19	AM-388-A17_contigs	AM-388-A17_NODE_12	19	20529	20927	1	D										SiaC family regulatory phosphoprotein [PF09345.13]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_20	AM-388-A17_contigs	AM-388-A17_NODE_12	20	20931	22235	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_21	AM-388-A17_contigs	AM-388-A17_NODE_12	21	22222	23028	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_12_22	AM-388-A17_contigs	AM-388-A17_NODE_12	22	23074	23487	-1	C	K07065	uncharacterized protein													0
AM-388-A17_contigs_AM-388-A17_NODE_12_23	AM-388-A17_contigs	AM-388-A17_NODE_12	23	23484	23723	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_12_24	AM-388-A17_contigs	AM-388-A17_NODE_12	24	23945	25294	1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_25	AM-388-A17_contigs	AM-388-A17_NODE_12	25	25295	26803	1	D										DcaP outer membrane protein [PF19577.2]; Porin subfamily [PF02530.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_26	AM-388-A17_contigs	AM-388-A17_NODE_12	26	26814	28394	1	C	K03455	monovalent cation:H+ antiporter-2, CPA2 family								Sodium/hydrogen exchanger family [PF00999.24]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_27	AM-388-A17_contigs	AM-388-A17_NODE_12	27	28640	28888	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_12_28	AM-388-A17_contigs	AM-388-A17_NODE_12	28	28881	29300	1	C	K07063	uncharacterized protein								PIN domain [PF13470.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_29	AM-388-A17_contigs	AM-388-A17_NODE_12	29	29432	33430	1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]; PAS domain [PF13426.10]; PAS fold [PF00989.28]; PAS fold [PF08448.13]; PAS fold [PF08447.15]; PAS fold [PF12860.10]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_30	AM-388-A17_contigs	AM-388-A17_NODE_12	30	33462	37079	1	C	K11527	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Response regulator receiver domain [PF00072.27]; PAS domain [PF13426.10]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF00989.28]; PAS fold [PF08448.13]; PAS fold [PF12860.10]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_31	AM-388-A17_contigs	AM-388-A17_NODE_12	31	37076	38224	1	D										Response regulator receiver domain [PF00072.27]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_32	AM-388-A17_contigs	AM-388-A17_NODE_12	32	38510	42985	1	C	K02030	polar amino acid transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 3 [PF00497.23]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; PAS fold [PF00989.28]; PAS fold [PF08447.15]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_33	AM-388-A17_contigs	AM-388-A17_NODE_12	33	43006	44037	1	C	K02051	NitT/TauT family transport system substrate-binding protein								NMT1/THI5 like [PF09084.14]; NMT1-like family [PF16868.8]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_34	AM-388-A17_contigs	AM-388-A17_NODE_12	34	44099	46081	1	D										PAS domain [PF13426.10]; PAS fold [PF00989.28]; PAS fold [PF08448.13]; HAMP domain [PF00672.28]; PAS domain [PF13188.10]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_35	AM-388-A17_contigs	AM-388-A17_NODE_12	35	46123	46650	1	C	K07013	uncharacterized protein								V4R domain [PF02830.21]					0
AM-388-A17_contigs_AM-388-A17_NODE_12_36	AM-388-A17_contigs	AM-388-A17_NODE_12	36	46657	47307	1	D										His Kinase A (phospho-acceptor) domain [PF00512.28]					0
AM-388-A17_contigs_AM-388-A17_NODE_120_1	AM-388-A17_contigs	AM-388-A17_NODE_120	1	94	1305	-1	D										Na+ dependent nucleoside transporter C-terminus [PF07662.16]; Na+ dependent nucleoside transporter N-terminus [PF01773.23]					0
AM-388-A17_contigs_AM-388-A17_NODE_120_2	AM-388-A17_contigs	AM-388-A17_NODE_120	2	1715	3544	-1	D										ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]; ATPsynthase alpha/beta subunit N-term extension [PF16886.8]; ATP synthase alpha/beta family, beta-barrel domain [PF02874.26]					0
AM-388-A17_contigs_AM-388-A17_NODE_120_3	AM-388-A17_contigs	AM-388-A17_NODE_120	3	3519	4199	-1	D										Protein of unknown function (DUF2764) [PF10962.11]					0
AM-388-A17_contigs_AM-388-A17_NODE_120_4	AM-388-A17_contigs	AM-388-A17_NODE_120	4	4210	4887	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_121_1	AM-388-A17_contigs	AM-388-A17_NODE_121	1	2	1093	1	D										Hpt domain [PF01627.26]					0
AM-388-A17_contigs_AM-388-A17_NODE_121_2	AM-388-A17_contigs	AM-388-A17_NODE_121	2	1101	3332	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; His Kinase A (phospho-acceptor) domain [PF00512.28]					0
AM-388-A17_contigs_AM-388-A17_NODE_121_3	AM-388-A17_contigs	AM-388-A17_NODE_121	3	3342	4505	1	D										Response regulator receiver domain [PF00072.27]					0
AM-388-A17_contigs_AM-388-A17_NODE_121_4	AM-388-A17_contigs	AM-388-A17_NODE_121	4	4767	4937	-1	D										Response regulator receiver domain [PF00072.27]					0
AM-388-A17_contigs_AM-388-A17_NODE_122_1	AM-388-A17_contigs	AM-388-A17_NODE_122	1	3	332	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_122_2	AM-388-A17_contigs	AM-388-A17_NODE_122	2	347	637	1	D										Thiamine-binding protein [PF01910.20]					0
AM-388-A17_contigs_AM-388-A17_NODE_122_3	AM-388-A17_contigs	AM-388-A17_NODE_122	3	758	1942	-1	C	K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]								Aminotransferase class-V [PF00266.22]					0
AM-388-A17_contigs_AM-388-A17_NODE_122_4	AM-388-A17_contigs	AM-388-A17_NODE_122	4	2034	2432	-1	D										Cysteine-rich domain [PF02754.19]					0
AM-388-A17_contigs_AM-388-A17_NODE_122_5	AM-388-A17_contigs	AM-388-A17_NODE_122	5	2432	3169	-1	D										4Fe-4S dicluster domain [PF13183.9]; Cysteine-rich domain [PF02754.19]; 4Fe-4S dicluster domain [PF13534.9]; 4Fe-4S dicluster domain [PF13187.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_122_6	AM-388-A17_contigs	AM-388-A17_NODE_122	6	3329	4774	-1	D										FAD binding domain [PF01565.26]; FAD linked oxidases, C-terminal domain [PF02913.22]					0
AM-388-A17_contigs_AM-388-A17_NODE_123_1	AM-388-A17_contigs	AM-388-A17_NODE_123	1	1	117	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_123_2	AM-388-A17_contigs	AM-388-A17_NODE_123	2	151	300	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_123_3	AM-388-A17_contigs	AM-388-A17_NODE_123	3	452	1477	1	C	K03856	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]								DAHP synthetase I family [PF00793.23]; DAHP synthase ferredoxin-like domain [PF18152.4]					0
AM-388-A17_contigs_AM-388-A17_NODE_123_4	AM-388-A17_contigs	AM-388-A17_NODE_123	4	1490	2269	-1	C	K09790	uncharacterized protein								Protein of unknown function (DUF454) [PF04304.16]; Heavy metal associated domain 2 [PF19991.2]					0
AM-388-A17_contigs_AM-388-A17_NODE_123_5	AM-388-A17_contigs	AM-388-A17_NODE_123	5	2390	3172	-1	C	K23876	(R)-2-hydroxyacyl-CoA dehydratese activating ATPase [EC:5.6.1.9]								BadF/BadG/BcrA/BcrD ATPase family [PF01869.23]					0
AM-388-A17_contigs_AM-388-A17_NODE_123_6	AM-388-A17_contigs	AM-388-A17_NODE_123	6	3384	4763	-1	D			MER0033868	S16	MER0033868 - family S16 non-peptidase homologues (Desulfomicrobium baculatum) [S16.UNW]#S16#{peptidase unit: 451-679}~source GEBA2500663296~	False	0.689	317.0	4.677e-93	Lon-like protease BrxL-like, ATPase domain [PF13337.9]; Lon protease (S16) C-terminal proteolytic domain [PF05362.16]					0
AM-388-A17_contigs_AM-388-A17_NODE_124_1	AM-388-A17_contigs	AM-388-A17_NODE_124	1	1	60	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_124_2	AM-388-A17_contigs	AM-388-A17_NODE_124	2	50	283	-1	D										Family of unknown function (DUF6364) [PF19891.2]					0
AM-388-A17_contigs_AM-388-A17_NODE_124_3	AM-388-A17_contigs	AM-388-A17_NODE_124	3	850	1098	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_124_4	AM-388-A17_contigs	AM-388-A17_NODE_124	4	1088	1306	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_124_5	AM-388-A17_contigs	AM-388-A17_NODE_124	5	1524	1979	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_124_6	AM-388-A17_contigs	AM-388-A17_NODE_124	6	2277	2864	1	D										Putative restriction endonuclease [PF05685.15]					0
AM-388-A17_contigs_AM-388-A17_NODE_124_7	AM-388-A17_contigs	AM-388-A17_NODE_124	7	2861	4033	1	D										Putative DNA-binding domain [PF04326.17]; Putative ATP-dependent DNA helicase recG C-terminal [PF13749.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_124_8	AM-388-A17_contigs	AM-388-A17_NODE_124	8	4258	4596	-1	C	K07171	mRNA interferase MazF [EC:3.1.-.-]								PemK-like, MazF-like toxin of type II toxin-antitoxin system [PF02452.20]					0
AM-388-A17_contigs_AM-388-A17_NODE_125_1	AM-388-A17_contigs	AM-388-A17_NODE_125	1	186	851	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_125_2	AM-388-A17_contigs	AM-388-A17_NODE_125	2	1139	4207	-1	C	K01156	type III restriction enzyme [EC:3.1.21.5]								Endonuclease domain [PF19778.2]; Type III restriction enzyme, res subunit [PF04851.18]					0
AM-388-A17_contigs_AM-388-A17_NODE_125_3	AM-388-A17_contigs	AM-388-A17_NODE_125	3	4220	4570	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_126_1	AM-388-A17_contigs	AM-388-A17_NODE_126	1	530	757	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_126_2	AM-388-A17_contigs	AM-388-A17_NODE_126	2	754	1182	1	C	K07065	uncharacterized protein													0
AM-388-A17_contigs_AM-388-A17_NODE_126_3	AM-388-A17_contigs	AM-388-A17_NODE_126	3	1405	1611	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_126_4	AM-388-A17_contigs	AM-388-A17_NODE_126	4	1601	1771	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_126_5	AM-388-A17_contigs	AM-388-A17_NODE_126	5	3071	3631	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_126_6	AM-388-A17_contigs	AM-388-A17_NODE_126	6	3939	4352	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_127_1	AM-388-A17_contigs	AM-388-A17_NODE_127	1	3	557	1	D										Methylmalonyl Co-A mutase-associated GTPase MeaB [PF03308.19]					0
AM-388-A17_contigs_AM-388-A17_NODE_127_2	AM-388-A17_contigs	AM-388-A17_NODE_127	2	581	814	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_127_3	AM-388-A17_contigs	AM-388-A17_NODE_127	3	836	1384	1	D										Helix-turn-helix domain [PF12844.10]; Mannose-6-phosphate isomerase [PF01050.21]; Mif2/CENP-C like [PF11699.11]; Helix-turn-helix [PF01381.25]					0
AM-388-A17_contigs_AM-388-A17_NODE_127_4	AM-388-A17_contigs	AM-388-A17_NODE_127	4	1571	2713	1	C	K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]								Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.14]					0
AM-388-A17_contigs_AM-388-A17_NODE_127_5	AM-388-A17_contigs	AM-388-A17_NODE_127	5	2760	3296	1	D										Heat induced stress protein YflT domain [PF11181.11]					0
AM-388-A17_contigs_AM-388-A17_NODE_127_6	AM-388-A17_contigs	AM-388-A17_NODE_127	6	3406	3870	-1	D										Glutathione-dependent formaldehyde-activating enzyme [PF04828.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_127_7	AM-388-A17_contigs	AM-388-A17_NODE_127	7	3902	4462	-1	D										Glutathione-dependent formaldehyde-activating enzyme [PF04828.17]					0
AM-388-A17_contigs_AM-388-A17_NODE_128_1	AM-388-A17_contigs	AM-388-A17_NODE_128	1	1	573	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_128_2	AM-388-A17_contigs	AM-388-A17_NODE_128	2	639	2378	1	D										Protein kinase domain [PF00069.28]; Protein tyrosine and serine/threonine kinase [PF07714.20]; Inner membrane component of T3SS, cytoplasmic domain [PF16697.8]; Tetratricopeptide repeat [PF13429.9]; FHA domain [PF00498.29]; Kinase-like [PF14531.9]; Lipopolysaccharide kinase (Kdo/WaaP) family [PF06293.17]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]; Lipopolysaccharide core biosynthesis protein (WaaY) [PF06176.14]; ABC1 atypical kinase-like domain [PF03109.19]					0
AM-388-A17_contigs_AM-388-A17_NODE_128_3	AM-388-A17_contigs	AM-388-A17_NODE_128	3	2404	2868	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_128_4	AM-388-A17_contigs	AM-388-A17_NODE_128	4	2887	3036	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_128_5	AM-388-A17_contigs	AM-388-A17_NODE_128	5	3044	3844	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_128_6	AM-388-A17_contigs	AM-388-A17_NODE_128	6	3863	4456	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_129_1	AM-388-A17_contigs	AM-388-A17_NODE_129	1	1	258	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_129_2	AM-388-A17_contigs	AM-388-A17_NODE_129	2	553	2013	1	C	K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]								Mur ligase middle domain [PF08245.15]; Mur ligase family, glutamate ligase domain [PF02875.24]; Mur ligase family, catalytic domain [PF01225.28]					0
AM-388-A17_contigs_AM-388-A17_NODE_129_3	AM-388-A17_contigs	AM-388-A17_NODE_129	3	2578	2916	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_129_4	AM-388-A17_contigs	AM-388-A17_NODE_129	4	2941	3648	-1	D										Cytochrome C biogenesis protein transmembrane region [PF02683.18]					0
AM-388-A17_contigs_AM-388-A17_NODE_129_5	AM-388-A17_contigs	AM-388-A17_NODE_129	5	3668	4219	-1	D										Thioredoxin [PF00085.23]; Redoxin [PF08534.13]; Thioredoxin-like [PF13905.9]; Thioredoxin-like [PF13899.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_129_6	AM-388-A17_contigs	AM-388-A17_NODE_129	6	4165	4398	-1	D										Thioredoxin domain [PF13192.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_1	AM-388-A17_contigs	AM-388-A17_NODE_13	1	143	352	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_2	AM-388-A17_contigs	AM-388-A17_NODE_13	2	354	698	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_3	AM-388-A17_contigs	AM-388-A17_NODE_13	3	695	880	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_4	AM-388-A17_contigs	AM-388-A17_NODE_13	4	877	1329	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_5	AM-388-A17_contigs	AM-388-A17_NODE_13	5	1331	1540	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_6	AM-388-A17_contigs	AM-388-A17_NODE_13	6	1626	1865	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_7	AM-388-A17_contigs	AM-388-A17_NODE_13	7	1858	2439	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_8	AM-388-A17_contigs	AM-388-A17_NODE_13	8	2436	2714	1	C	K04078	chaperonin GroES								Chaperonin 10 Kd subunit [PF00166.24]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_9	AM-388-A17_contigs	AM-388-A17_NODE_13	9	2711	2830	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_10	AM-388-A17_contigs	AM-388-A17_NODE_13	10	2863	3048	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_11	AM-388-A17_contigs	AM-388-A17_NODE_13	11	3128	4912	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_12	AM-388-A17_contigs	AM-388-A17_NODE_13	12	4950	5564	1	D										HNH endonuclease [PF14279.9]; HNH endonuclease [PF01844.26]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_13	AM-388-A17_contigs	AM-388-A17_NODE_13	13	5557	5742	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_14	AM-388-A17_contigs	AM-388-A17_NODE_13	14	5723	6166	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_15	AM-388-A17_contigs	AM-388-A17_NODE_13	15	6331	8646	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_16	AM-388-A17_contigs	AM-388-A17_NODE_13	16	8662	9045	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_17	AM-388-A17_contigs	AM-388-A17_NODE_13	17	9045	9308	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_18	AM-388-A17_contigs	AM-388-A17_NODE_13	18	9391	10164	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_19	AM-388-A17_contigs	AM-388-A17_NODE_13	19	10164	10805	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_20	AM-388-A17_contigs	AM-388-A17_NODE_13	20	10816	11319	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_21	AM-388-A17_contigs	AM-388-A17_NODE_13	21	11335	12288	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_22	AM-388-A17_contigs	AM-388-A17_NODE_13	22	12393	12929	1	D										Recombination endonuclease VII [PF02945.18]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_23	AM-388-A17_contigs	AM-388-A17_NODE_13	23	12942	13523	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_24	AM-388-A17_contigs	AM-388-A17_NODE_13	24	13586	13984	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_25	AM-388-A17_contigs	AM-388-A17_NODE_13	25	13993	14394	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_26	AM-388-A17_contigs	AM-388-A17_NODE_13	26	14402	15454	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_27	AM-388-A17_contigs	AM-388-A17_NODE_13	27	15454	16881	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_28	AM-388-A17_contigs	AM-388-A17_NODE_13	28	16883	17311	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_29	AM-388-A17_contigs	AM-388-A17_NODE_13	29	17265	18983	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_30	AM-388-A17_contigs	AM-388-A17_NODE_13	30	19051	20157	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_31	AM-388-A17_contigs	AM-388-A17_NODE_13	31	20161	23865	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_32	AM-388-A17_contigs	AM-388-A17_NODE_13	32	23866	26397	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_33	AM-388-A17_contigs	AM-388-A17_NODE_13	33	26405	27856	1	D										Concanavalin A-like lectin/glucanases superfamily [PF13385.9]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_34	AM-388-A17_contigs	AM-388-A17_NODE_13	34	27858	28586	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_35	AM-388-A17_contigs	AM-388-A17_NODE_13	35	28586	29314	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_36	AM-388-A17_contigs	AM-388-A17_NODE_13	36	29329	29508	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_37	AM-388-A17_contigs	AM-388-A17_NODE_13	37	29535	29753	1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_38	AM-388-A17_contigs	AM-388-A17_NODE_13	38	29753	30235	1	D										Protein of unknown function (DUF1353) [PF07087.14]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_39	AM-388-A17_contigs	AM-388-A17_NODE_13	39	30491	30712	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_40	AM-388-A17_contigs	AM-388-A17_NODE_13	40	30728	31582	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_41	AM-388-A17_contigs	AM-388-A17_NODE_13	41	31548	32000	-1	E															1
AM-388-A17_contigs_AM-388-A17_NODE_13_42	AM-388-A17_contigs	AM-388-A17_NODE_13	42	31967	32224	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_43	AM-388-A17_contigs	AM-388-A17_NODE_13	43	32612	32830	-1	E															1
AM-388-A17_contigs_AM-388-A17_NODE_13_44	AM-388-A17_contigs	AM-388-A17_NODE_13	44	32827	33210	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_45	AM-388-A17_contigs	AM-388-A17_NODE_13	45	33197	33379	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_46	AM-388-A17_contigs	AM-388-A17_NODE_13	46	33376	33642	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_47	AM-388-A17_contigs	AM-388-A17_NODE_13	47	33692	33916	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_48	AM-388-A17_contigs	AM-388-A17_NODE_13	48	33913	34179	-1	E															0
AM-388-A17_contigs_AM-388-A17_NODE_13_49	AM-388-A17_contigs	AM-388-A17_NODE_13	49	34327	34722	-1	D										Domain of unknown function (DUF3127) [PF11325.11]					0
AM-388-A17_contigs_AM-388-A17_NODE_13_50	AM-388-A17_contigs	AM-388-A17_NODE_13	50	34725	35102	-1	E															0
